CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,VolumeUSD,DateTime
1500422400,42.27,46.0,41.1,43.5,32816.066,0.0,2017-07-19
1500508800,43.5,44.1,39.34,40.44,52763.04,0.0,2017-07-20
1500595200,40.6,45.77,39.95,45.06,68992.7,0.0,2017-07-21
1500681600,44.57,47.96,44.09,45.45,32855.74,0.0,2017-07-22
1500768000,45.21,47.5,44.85,46.87,11597.374,0.0,2017-07-23
1500854400,46.95,47.04,43.37,45.29,15568.853,0.0,2017-07-24
1500940800,44.9,45.62,43.6,44.95,12384.372,0.0,2017-07-25
1501027200,45.0,45.3,40.38,42.02,33654.316,0.0,2017-07-26
1501113600,42.1,42.9,40.23,42.1,23540.906,0.0,2017-07-27
1501200000,41.97,42.86,40.8,41.65,20563.773,0.0,2017-07-28
1501286400,41.86,42.2,40.02,40.25,27950.332,0.0,2017-07-29
1501372800,40.25,41.24,38.25,40.54,25820.086,0.0,2017-07-30
1501459200,40.71,41.22,39.3,39.86,8529.737,0.0,2017-07-31
1501545600,39.9,43.24,37.39,42.11,48860.45,0.0,2017-08-01
1501632000,42.11,44.3,39.72,43.16,45496.27,0.0,2017-08-02
1501718400,43.06,43.26,41.44,41.69,17092.186,0.0,2017-08-03
1501804800,41.85,43.0,41.8,42.5,8287.6045,0.0,2017-08-04
1501891200,42.66,43.57,42.32,42.99,14250.113,0.0,2017-08-05
1501977600,43.25,47.09,43.02,46.24,49028.535,0.0,2017-08-06
1502064000,46.22,46.92,44.73,45.25,18033.992,0.0,2017-08-07
1502150400,45.33,46.75,45.09,45.73,14193.529,0.0,2017-08-08
1502236800,45.83,49.7,45.31,48.65,34920.332,0.0,2017-08-09
1502323200,48.67,50.25,46.69,47.68,34882.47,0.0,2017-08-10
1502409600,47.78,48.68,46.75,46.75,8807.138,0.0,2017-08-11
1502496000,46.79,47.97,45.64,46.87,21949.426,0.0,2017-08-12
1502582400,46.8,47.54,45.71,46.23,29490.977,0.0,2017-08-13
1502668800,46.19,47.42,43.62,45.05,49702.008,0.0,2017-08-14
1502755200,45.34,46.2,44.44,45.3,14008.099,0.0,2017-08-15
1502841600,45.61,45.67,41.15,42.86,57297.664,0.0,2017-08-16
1502928000,43.12,44.9,41.89,43.95,53586.414,0.0,2017-08-17
1503014400,43.75,44.86,43.0,43.77,16348.945,0.0,2017-08-18
1503100800,43.78,48.0,43.13,46.85,56581.32,0.0,2017-08-19
1503187200,46.49,46.49,42.99,44.98,15138.122,0.0,2017-08-20
1503273600,44.12,47.26,43.36,45.63,7088.495,0.0,2017-08-21
1503360000,45.9,48.73,45.02,47.66,26343.377,0.0,2017-08-22
1503446400,47.67,47.67,44.32,46.29,40044.9,0.0,2017-08-23
1503532800,46.32,55.69,45.73,52.89,83870.766,0.0,2017-08-24
1503619200,52.91,53.12,49.27,49.83,34478.598,0.0,2017-08-25
1503705600,49.75,52.21,49.26,50.95,17779.814,0.0,2017-08-26
1503792000,51.0,52.25,50.0,51.46,13709.218,0.0,2017-08-27
1503878400,51.34,64.89,51.32,60.21,76096.57,0.0,2017-08-28
1503964800,60.21,65.0,58.55,62.29,58346.85,0.0,2017-08-29
1504051200,62.21,63.95,60.6,63.53,32066.45,0.0,2017-08-30
